,Unnamed: 0,models,r2 values,MSE values,Models,Scalers
0,0,Linear Regression (Power),0.04913980158039977,0.9384587051642036,Linear Regression,Power
1,1,Lasso (Power),0.048618089605007686,0.938973612766508,Lasso,Power
2,2,Ridge (Power),0.04913983722628501,0.9384586699832259,Ridge,Power
3,3,Elastic Net (Power),0.04939081663030875,0.9382109639514512,Elastic Net,Power
4,4,SVR (Power),0.0858369895778135,0.9022401363478202,SVR,Power
5,5,RFR (Power),0.5353074601341761,0.4586318367166571,RFR,Power
6,6,Linear Regression (Standard),0.00738850948661296,1.083891166617238,Linear Regression,Standard
7,7,Lasso (Standard),0.006324543579251274,1.0850529738898649,Lasso,Standard
8,8,Ridge (Standard),0.007388519522215199,1.0838911556587707,Ridge,Standard
9,9,Elastic Net (Standard),0.007352154976347669,1.083930864256163,Elastic Net,Standard
10,10,SVR (Standard),-0.07044183240613687,1.1688787180193676,SVR,Standard
11,11,RFR (Standard),0.4237125665799101,0.6292823168846149,RFR,Standard
12,12,Linear Regression (Min Max),0.007388509486612849,0.009910406724790936,Linear Regression,Min Max
13,13,Lasso (Min Max),-0.0005441951007114644,0.009989608234786895,Lasso,Min Max
14,14,Ridge (Min Max),0.007388756125681461,0.009910404262303342,Ridge,Min Max
15,15,Elastic Net (Min Max),-0.0005441951007114644,0.009989608234786895,Elastic Net,Min Max
16,16,SVR (Min Max),-0.17906259333774302,0.011771967144889926,SVR,Min Max
17,17,RFR (Min Max),0.4229471492294755,0.005761396586169036,RFR,Min Max
18,18,Linear Regression (Robust),0.00738850948661296,4.454133198390039,Linear Regression,Robust
19,19,Lasso (Robust),0.006878241304846045,4.4564229184569655,Lasso,Robust
20,20,Ridge (Robust),0.007388528116090255,4.4541331147942165,Ridge,Robust
21,21,Elastic Net (Robust),0.007398493069325941,4.454088399183477,Elastic Net,Robust
22,22,SVR (Robust),-0.08410924104925499,4.8647099166073895,SVR,Robust
23,23,RFR (Robust),0.42523579071442025,2.5791322892113686,RFR,Robust
