,models,r2 values,MSE values
0,Linear Regression (Power),0.2689474532834527,0.7215178714377688
1,Lasso (Power),0.24695254950037726,0.7432259090218254
2,Ridge (Power),0.2689473938253154,0.7215179301204295
3,Elastic Net (Power),0.25702405991207045,0.7332857552161294
4,SVR (Power),0.5091929008406599,0.48440579964123853
5,RFR (Power),0.7232012296032468,0.27318865180110385
6,Linear Regression (Standard),0.14479950520929374,0.9338439770739652
7,Lasso (Standard),0.12528956414033698,0.9551480350946192
8,Ridge (Standard),0.14479966135185862,0.9338438065726679
9,Elastic Net (Standard),0.13345598119068236,0.9462306415439927
10,SVR (Standard),0.232527342536322,0.8380487652977847
11,RFR (Standard),0.5990515030632805,0.4378193666420265
12,Linear Regression (Min Max),0.14479950520929397,0.008538471310900108
13,Lasso (Min Max),-0.0005441951007114643,0.009989608234786895
14,Ridge (Min Max),0.14480831567076158,0.008538383345711904
15,Elastic Net (Min Max),0.01334184955467188,0.009850967536337716
16,SVR (Min Max),0.11966357115858839,0.008789432872629737
17,RFR (Min Max),0.5974228858217645,0.004019400316971351
18,Linear Regression (Robust),0.14479950520929386,3.8375305459709455
19,Lasso (Robust),0.1322270711285196,3.893946673085073
20,Ridge (Robust),0.14479982084216025,3.8375291296355085
21,Elastic Net (Robust),0.13672682828622762,3.8737549687451662
22,SVR (Robust),0.17936586992560533,3.682421327407548
23,RFR (Robust),0.5985797665454622,1.8012880219738125
